Order	City	Node ID	Coordinate X	Coordinate Y	Duration (min)	Profit (eur)	Student 1	Student 2	Student 3	Student 4	Student 5	Student 6	Student 7	Student 8	Student 9	Student 10	Student 11	Student 12	Student 13	Student 14	Student 15	Student 16	Student 17	Student 18	Student 19	Student 20
18	BUDEL	321	55749270	512744895	9	25	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1
33	DEURNE	912	57880874	514679426	9	27	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	1
114	MAARHEEZE	484	56295706	513089704	10	12	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0
121	DEURNE	868	57717831	514645180	5	11	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	0	1
122	BUDEL	169	55718302	512652154	11	21	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1
141	LIEROP	956	56650272	514333625	12	25	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0
143	LIESSEL	888	58299702	514137523	10	25	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0
162	SOMEREN	970	57039137	513838019	12	37	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0
203	ASTEN	825	57562786	514155936	7	19	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1
204	ASTEN	825	57562786	514155936	5	13	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0
205	ASTEN	825	57562786	514155936	11	15	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1
256	ASTEN	818	57503755	514157545	9	17	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0
317	STERKSEL	35	56318164	513380138	10	20	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1
325	SOERENDONK	185	55732337	513005525	7	19	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	0
338	BUDEL DORPLEIN	558	55699569	512409595	10	26	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1
358	MAARHEEZE	287	56343016	513026712	11	29	0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0
